ICAO,NAME
RDM,Air Ada
AHR,Air Adriatic
FTC,Air Affaires Tchad
RKA,Air Afrique
AFV,Air Afrique Vacancies
LFA,Air Alfa
DAH,Air Algérie
RLZ,Air Alize
ALM,Air ALM
AAJ,Air Alma
LMY,Air Almaty
LMZ,Air Almaty ZK
DBA,Air Alpha
AHA,Air Alpha Greenland
LPV,Air Alps Aviation
MMD,Air Alsie
AMY,Air Ambar
RMD,Air Amder
RUD,Air Anastasia
NTL,Air Anatolia
ASN,Air and Sea Transport
ADW,Air Andaman
ABY,Air Arabia
RHL,Air Archipels
ARR,Air Armenia
KZR,Air Astana
EUK,Air Atlanta Europe
ABD,Air Atlanta Icelandic
ANI,Air Atlantic (Nig) Limited
ADC,Air Atlantic Dominicana
AUM,Air Atlantic Uruguay
OUL,Air Atonabee
AAI,Air Aurora
REU,Air Austral
AGC,Air Australia
BFF,Air Baffin
LZP,Air Ban
BDM,Air Bandama
BGD,Air Bangladesh
BBT,Air Bashkortostan
BER,Air Berlin
BOT,Air Botswana
BUB,Air Bourbon
BRF,Air Bravo
ABT,Air Brousse
VBW,Air Burkina
PBU,Air Burundi
ABL,Air Busan
MSC,Air Cairo
ACM,Air Caledonia
TPC,Air Calédonie
ACI,Air Caledonie International
ACA,Air Canada
JZA,Air Canada Jazz
ROU,Air Canada Rouge
FWI,Air Caraïbes
CAJ,Air Caraibes Atlantique
CMF,Air Care Alliance
MVM,Air Cargo America
CGB,Air Cargo Belize
SNC,Air Cargo Carriers
GRI,Air Cargo Center
TDG,Air Cargo Express
PFT,Air Cargo Express International
RNR,Air Cargo Masters
ACU,Air Cargo Transportation System
FCI,Air Carriers
RCI,Air Cassai
RAP,Air Center Helicopters
CRF,Air Central
ACS,Air Cess
CHV,Air Charter Professionals
ACV,Air Charter Service
CHR,Air Charter Services
XAC,Air Charter World
ACX,Air Charters
RCC,Air Charters Eelde
CVA,Air Chathams
CCA,Air China
CAO,Air China Cargo
ECE,Air City
QCL,Air Class Lineas Aereas
ASS,"Air Class, S.A. de C.V."
CBS,Air Columbus
HAH,Air Comores International
KGD,Air Concorde
CNU,Air Consul
NAR,Air Continental Inc
CPV,Air Corporate
CRD,Air Corridor
CRQ,Air Creebec
CRJ,Air Cruzal
AFS,Air Data
UCK,Air Division of the Eastern Kazakhstan Region
DJU,Air Djibouti
ADO,Air Do
DLA,Air Dolomiti
ADT,Air Dorval
EET,Air Este
AEA,Air Europa
AEL,Air Europe
VAE,Air Evans
EVE,Air Evex
XLL,Air Excel
EXG,Air Exchange
IVE,Air Executive
XEC,Air Executive Charter
AXL,Air Exel
AEJ,Air Express
AEQ,Air Express
AXD,Air Express
AVG,Air Falcon
FLD,Air Falcon
AFH,Air Fecteau
AFR,Air France
HOP,Air France Hop
FMT,Air Fret De Mauritanie
ABN,Air Fret Senegal
AGN,Air Gabon
GLL,Air Gemini
GRG,Air Georgia
GGN,Air Georgian
GHN,Air Ghana
AGV,Air Glaciers
CGW,Air Great Wall
GRL,Air Greenland
AGM,Air Guam
GIP,Air Guinee Express
GUY,Air Guyane
HJA,Air Haiti
AHK,Air Hong Kong
TPK,Air Horizon
FXI,Air Iceland
AIL,Air Illinois
AIC,Air India
AXB,Air India Express
AII,Air Integra
ICM,Air Inter Cameroun
AIG,Air Inter Gabon
NTV,Air Inter Ivoire
NSK,Air Intersalonika
AIE,Air Inuit
AEY,Air Italy
ISS,Air Italy
MQT,Air ITM
VUN,Air Ivoire
LJA,Air Jamahiriya Company
AJM,Air Jamaica
JMX,Air Jamaica Express
AJX,Air Japan
AJU,Air Jetsul
AKL,Air Kiribati
KAD,Air Kirovograd
KSI,Air Kissari
KLD,Air Klaipeda
KRT,Air Kokshetau
AKA,Air Korea Co. Ltd.
KFT,Air Kraft Mir
KAV,Air Kufra
LYN,Air Kyrgyzstan
UED,Air LA
LZR,Air Lazur
RLL,Air Leone
TLR,Air Libya Tibesti
IFI,Air Lift
ALN,Air Lincoln
LIV,Air Livonia
ALG,Air Logistics
LXR,Air Luxor
LXG,Air Luxor GB
ALU,Air Luxor STP
AMU,Air Macau
KAM,Air Mach
MDG,Air Madagascar
MLN,Air Madeleine
DRD,Air Madrid
AML,Air Malawi
AMI,Air Maldives
MLI,Air Mali
KLB,Air Mali International
AMC,Air Malta
EFC,Air Mana
MBB,Air Manas
MKH,Air Marrakech Service
CWM,Air Marshall Islands
MRT,Air Mauritanie
MAU,Air Mauritius
RMX,Air Max
AZX,Air Max Africa
MCD,Air Medical
MAR,Air Mediterranean
BIE,Air Méditerranée
MHS,Air Memphis
MHU,Air Memphis
MCB,Air Mercia
MEF,Air Meridan
MTK,Air Metack
AMW,Air Midwest
VTY,Air Midwest
AMG,Air Minas Linhas Aéreas
RCH,Air Mobility Command
MLD,Air Moldova
MOC,Air Monarch Cargo
MTY,Air Montegomery
AMN,Air Montenegro
AMO,Air Montreal (Air Holdings Inc.)
TAH,Air Moorea
AMS,Air Muskoka
NMB,Air Namibia
NPR,Air Napier
ANB,Air Navigation And Trading Co. Ltd.
RLK,Air Nelson
NPL,Air Nepal International
WDR,Air Net Private Charter
ANV,Air Nevada
ANZ,Air New Zealand
NER,Air Newark
NXA,Air Next
DBD,Air Niagara Express
AWN,Air Niamey
NGP,Air Nigeria
ANK,Air Nippon
ANG,Air Niugini
ANT,Air North Charter - Canada
ANE,Air Nostrum
HMT,Air Nova
ADH,Air One
AOE,Air One Executive
ONR,Air One Nine
ONT,Air Ontario
PCK,Air Pack Express
PLL,Air Pal
PCS,Air Palace
PBT,Air Parabet
APA,Air Park Aviation Ltd.
ACG,Air Partner
APG,Air People International
APV,Air Plan International
LMP,Air Plus Argentina
MPD,Air Plus Comet
APZ,Air Premia
PLM,Air Pullmantur
AQN,Air Queensland
RAR,Air Rarotonga
ARZ,Air Resorts
RBV,Air Roberval
ARC,Air Routing International Corp.
RUM,Air Rum
SRI,Air Safaris and Services
SGA,Air Saigon
LOU,Air Saint Louis
SPM,Air Saint Pierre
RNE,Air Salone
SND,Air Samarkand
SJN,Air San Juan
SNY,Air Sandy
SDO,Air Santo Domingo
ASJ,Air Satellite
ASF,"Air Schefferville, Inc."
SCU,Air Scorpio
GRE,Air Scotland
SNG,Air Senegal International
ASL,Air Serbia
SPJ,Air Service
RCX,Air Service Center
DEG,Air Service Groningen
SEY,Air Seychelles
ASD,Air Sinai
SVK,Air Slovakia
SFB,Air Sofia
SOE,Air Soleil
LKY,Air Solutions
RSM,Air Somalia
WHY,Air Sorel
KKB,Air South
PIE,Air South West
ASW,Air Southwest Ltd.
ASX,Air Special
AMR,Air Specialties Corporation
SIP,Air Spirit
MSK,Air Sport
SBK,Air Srpska
STT,Air St. Thomas
